timestamp,weight,unit
2026-06-20T07:32:00+01:00,81.9,kg
2026-06-21T06:09:00+01:00,81.8,kg
2026-06-22T06:16:00+01:00,81.8,kg
2026-06-23T07:31:00+01:00,81.1,kg
2026-06-25T07:01:00+01:00,82.6,kg
2026-06-26T07:32:00+01:00,81.7,kg
2026-06-27T07:33:00+01:00,81.8,kg
2026-06-28T06:03:00+01:00,81.5,kg
2026-06-29,81.7,kg
2026-07-01T08:21:00+01:00,81.3,kg
2026-07-02T06:09:00+01:00,81.0,kg
2026-07-04,81.3,kg
2026-07-05T08:09:00+01:00,81.2,kg
2026-07-06T07:04:00+01:00,82.0,kg
2026-07-07T08:37:00+01:00,80.8,kg
2026-07-08T06:38:00+01:00,81.2,kg
2026-07-09,81.6,kg
2026-07-11T08:24:00+01:00,81.2,kg
2026-07-12T06:18:00+01:00,80.8,kg
2026-07-15T06:27:00+01:00,80.2,kg
2026-07-16T06:03:00+01:00,81.0,kg
2026-07-18T08:20:00+01:00,80.2,kg
2026-07-19,80.8,kg
2026-07-20T07:16:00+01:00,80.8,kg
2026-07-21T06:17:00+01:00,79.7,kg
2026-07-22T08:09:00+01:00,81.0,kg
2026-07-24,80.8,kg
2026-07-25T06:00:00+01:00,80.5,kg
2026-07-26T07:30:00+01:00,80.4,kg
2026-07-27T07:26:00+01:00,80.2,kg
2026-07-28T07:34:00+01:00,81.0,kg
2026-07-29,80.5,kg
2026-07-30T06:22:00+01:00,79.5,kg
2026-07-31T06:01:00+01:00,79.9,kg
2026-08-04T07:25:00+01:00,80.3,kg
2026-08-05T07:33:00+01:00,79.6,kg
2026-08-06T08:11:00+01:00,80.5,kg
2026-08-07T08:05:00+01:00,79.3,kg
2026-08-08,80.2,kg
2026-08-09T06:26:00+01:00,78.9,kg
2026-08-10T07:35:00+01:00,79.2,kg
2026-08-12T08:37:00+01:00,79.2,kg
2026-08-16T07:24:00+01:00,80.0,kg
2026-08-17T06:35:00+01:00,78.5,kg
2026-08-18,79.5,kg
2026-08-19T08:22:00+01:00,78.4,kg
2026-08-21T06:15:00+01:00,79.2,kg
2026-08-22T06:28:00+01:00,78.7,kg
